学号 班级 语文 数学 英语 物理 化学 政治 历史 地理 生物 美术 音乐 体育
1	1	75	56	58	62	84	78	91	54	52	84	100	93
2	1	69	81	54	86	85	72	61	59	96	79	64	91
3	1	76	78	100	95	65	67	55	72	81	91	54	64
4	1	74	94	96	69	63	71	60	83	59	53	80	77
5	1	73	67	84	71	50	50	99	74	70	99	78	76
6	1	58	83	91	91	67	53	57	85	62	60	67	77
7	1	53	64	50	54	69	61	99	64	68	50	79	58
8	1	78	81	95	83	75	86	96	66	51	81	88	88
9	1	67	72	60	97	87	92	81	90	82	96	85	85
10	1	90	58	70	95	79	76	81	91	90	59	86	100
11	1	78	90	86	59	53	54	69	99	62	67	65	89
12	1	64	68	60	61	79	77	91	60	69	87	75	58
13	1	91	79	77	98	94	77	85	93	81	95	91	64
14	1	100	65	58	89	92	64	77	59	96	57	84	95
15	1	98	90	92	70	61	65	82	82	97	51	74	63
16	1	55	75	95	96	94	72	71	67	92	85	89	50
17	1	77	91	80	77	65	87	63	70	66	60	74	61
18	1	68	68	80	77	87	65	87	74	63	70	72	99
19	1	81	94	73	59	91	74	78	57	100	82	93	58
20	1	74	87	55	54	100	79	73	77	84	96	90	91
21	1	69	65	68	57	67	93	53	76	55	87	56	82
22	1	53	57	75	74	75	66	93	75	89	84	96	63
23	1	76	99	97	64	62	98	65	97	67	99	78	52
24	1	64	97	94	91	59	59	73	70	98	86	82	76
25	1	57	85	53	96	63	72	68	59	89	68	54	85
26	1	96	66	94	57	70	52	72	57	55	94	78	79
27	1	91	91	66	66	89	79	83	62	67	91	50	91
28	1	78	54	84	52	94	54	65	61	86	74	88	100
29	1	93	50	84	99	71	90	53	98	82	52	77	86
30	1	86	97	69	66	70	94	85	73	77	90	62	61
31	1	88	53	77	55	95	55	82	92	87	82	76	58
32	1	61	77	90	84	50	64	77	96	55	70	56	61
33	1	66	91	86	66	58	72	96	90	94	99	64	89
34	1	68	57	96	54	80	88	86	62	95	55	77	74
35	1	88	59	90	80	78	72	69	93	59	56	73	53
36	1	71	63	57	71	56	79	72	51	67	80	68	71
37	1	54	91	52	97	99	79	68	72	65	85	77	52
38	1	81	57	82	57	58	73	77	88	90	86	90	90
39	1	93	65	85	68	79	68	82	77	74	79	96	97
40	1	89	72	85	89	58	67	84	77	85	70	61	90
41	1	81	57	95	58	64	62	98	51	51	73	96	84
42	1	85	69	93	81	61	96	90	91	66	71	76	60
43	1	74	86	72	64	86	84	99	96	92	84	77	94
44	1	61	87	95	62	74	58	58	95	84	81	81	73
45	1	80	73	72	94	92	51	72	74	96	64	69	56
46	1	68	76	53	86	85	53	91	86	55	96	76	81
47	1	82	78	98	80	65	64	53	56	54	55	65	72
48	1	80	50	92	51	89	70	67	98	98	88	51	80
49	1	89	78	50	100	74	60	70	84	66	69	56	78
50	1	76	70	71	76	75	60	92	60	87	69	77	97
51	2	60	90	79	91	100	91	62	68	67	68	87	98
52	2	50	82	96	54	88	96	87	83	100	62	66	53
53	2	94	84	70	53	92	55	87	69	82	74	92	84
54	2	55	54	50	82	56	81	73	71	68	95	76	86
55	2	54	50	94	77	89	98	80	67	65	75	92	87
56	2	60	100	83	100	98	70	79	59	89	58	74	73
57	2	67	72	94	80	64	79	85	89	66	91	81	89
58	2	96	84	54	82	66	82	74	59	99	74	89	80
59	2	50	79	85	90	50	90	51	81	55	86	92	88
60	2	97	81	82	92	75	90	84	98	69	83	98	51
61	2	85	72	54	83	62	62	58	78	57	60	67	82
62	2	90	90	62	87	56	95	74	94	80	54	58	84
63	2	86	79	96	72	81	75	82	85	97	76	83	90
64	2	77	82	54	57	62	84	77	64	68	84	84	80
65	2	95	73	85	98	97	70	87	63	78	87	92	87
66	2	68	64	94	79	81	81	83	63	57	51	75	95
67	2	67	99	75	50	98	99	86	56	84	79	55	57
68	2	94	52	56	66	67	100	92	81	99	65	63	69
69	2	63	77	64	83	82	50	100	94	64	88	78	92
70	2	58	70	51	60	53	69	63	80	66	52	85	52
71	2	62	50	93	89	58	67	81	94	82	82	87	90
72	2	66	91	100	61	75	91	99	76	80	84	85	68
73	2	60	57	83	95	83	100	82	63	72	79	68	75
74	2	81	88	84	96	62	95	82	54	52	51	99	64
75	2	79	63	91	84	50	83	62	62	82	96	51	59
76	2	70	95	65	84	74	84	85	59	56	98	72	68
77	2	96	61	65	65	95	58	86	72	98	56	97	57
78	2	98	68	98	54	83	74	71	67	84	87	63	83
79	2	68	98	92	61	66	79	61	95	58	50	73	97
80	2	51	69	97	73	62	72	81	85	58	67	81	100
81	2	82	61	55	85	59	54	60	53	74	79	65	70
82	2	70	60	98	84	76	67	75	69	61	92	68	78
83	2	65	51	93	73	100	83	94	60	57	63	54	50
84	2	85	52	64	76	91	100	71	91	60	99	93	80
85	2	58	52	71	69	52	96	61	70	98	96	86	90
